names,labels
moto-111.jpg,1
moto-419.jpg,1
moto-159.jpg,1
moto-124.jpg,1
moto-568.jpg,1
bike-594.jpg,0
moto-627.jpg,1
bike-269.jpg,0
bike-399.jpg,0
moto-602.jpg,1
moto-445.jpg,1
moto-3.jpg,1
moto-185.jpg,1
moto-416.jpg,1
moto-403.jpg,1
bike-59.jpg,0
bike-230.jpg,0
bike-486.jpg,0
bike-355.jpg,0
bike-383.jpg,0
moto-614.jpg,1
bike-699.jpg,0
moto-293.jpg,1
bike-427.jpg,0
moto-128.jpg,1
moto-638.jpg,1
bike-148.jpg,0
bike-466.jpg,0
moto-80.jpg,1
bike-459.jpg,0
bike-604.jpg,0
moto-455.jpg,1
bike-544.jpg,0
moto-570.jpg,1
moto-31.jpg,1
moto-236.jpg,1
moto-512.jpg,1
bike-240.jpg,0
moto-175.jpg,1
bike-460.jpg,0
bike-491.jpg,0
moto-110.jpg,1
moto-352.jpg,1
bike-177.jpg,0
bike-244.jpg,0
bike-693.jpg,0
moto-554.jpg,1
moto-578.jpg,1
bike-392.jpg,0
bike-531.jpg,0
bike-179.jpg,0
bike-141.jpg,0
moto-549.jpg,1
moto-414.jpg,1
moto-240.jpg,1
bike-651.jpg,0
bike-227.jpg,0
moto-342.jpg,1
moto-207.jpg,1
moto-391.jpg,1
bike-286.jpg,0
bike-416.jpg,0
bike-337.jpg,0
bike-9.jpg,0
moto-222.jpg,1
bike-530.jpg,0
moto-613.jpg,1
moto-496.jpg,1
moto-643.jpg,1
moto-338.jpg,1
bike-305.jpg,0
moto-632.jpg,1
moto-322.jpg,1
moto-610.jpg,1
moto-676.jpg,1
bike-246.jpg,0
moto-253.jpg,1
moto-234.jpg,1
bike-637.jpg,0
bike-154.jpg,0
moto-248.jpg,1
bike-191.jpg,0
moto-406.jpg,1
bike-620.jpg,0
moto-429.jpg,1
moto-137.jpg,1
bike-454.jpg,0
moto-144.jpg,1
bike-598.jpg,0
bike-309.jpg,0
moto-188.jpg,1
bike-159.jpg,0
moto-618.jpg,1
bike-238.jpg,0
bike-663.jpg,0
bike-270.jpg,0
bike-64.jpg,0
bike-395.jpg,0
bike-303.jpg,0
moto-304.jpg,1
bike-136.jpg,0
bike-322.jpg,0
moto-456.jpg,1
moto-164.jpg,1
moto-563.jpg,1
moto-318.jpg,1
moto-42.jpg,1
bike-642.jpg,0
bike-326.jpg,0
moto-466.jpg,1
bike-327.jpg,0
bike-394.jpg,0
moto-400.jpg,1
bike-301.jpg,0
bike-7.jpg,0
bike-31.jpg,0
bike-182.jpg,0
moto-303.jpg,1
moto-156.jpg,1
bike-16.jpg,0
bike-533.jpg,0
moto-11.jpg,1
bike-63.jpg,0
moto-35.jpg,1
moto-59.jpg,1
bike-682.jpg,0
bike-12.jpg,0
moto-146.jpg,1
moto-358.jpg,1
bike-582.jpg,0
moto-284.jpg,1
moto-158.jpg,1
bike-221.jpg,0
bike-58.jpg,0
bike-200.jpg,0
moto-208.jpg,1
bike-688.jpg,0
moto-626.jpg,1
moto-689.jpg,1
bike-352.jpg,0
moto-212.jpg,1
moto-198.jpg,1
bike-79.jpg,0
moto-328.jpg,1
bike-452.jpg,0
bike-110.jpg,0
moto-326.jpg,1
moto-295.jpg,1
bike-101.jpg,0
bike-53.jpg,0
moto-227.jpg,1
bike-447.jpg,0
bike-390.jpg,0
bike-217.jpg,0
moto-50.jpg,1
bike-591.jpg,0
bike-684.jpg,0
bike-228.jpg,0
moto-639.jpg,1
bike-570.jpg,0
moto-302.jpg,1
bike-284.jpg,0
